controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,1630.0,4.219351306891614,7.144734056864259,7.0,-2.780648693108386,-0.8341946079325158,1578.173005436728,1.5781730054367282,0.7439783975042125,30.0,5.0,61.140499474428275,0.7439783975042125,0.7439783975042125,74.39783975042124,1.4210854715202004e-12
PI_NO_ANTI_WINDUP,False,1640.0,4.155919056767246,6.995736451723453,7.0,-2.844080943232754,-0.8532242829698262,1550.3665185056443,1.5503665185056443,0.6971422355358181,30.0,5.0,59.35218355458473,0.6971422355358181,0.6971422355358181,69.71422355358182,-2.8421709430404007e-13
PI_NO_ANTI_WINDUP,False,1650.0,4.106339918016063,6.855295382084292,7.0,-2.8936600819839366,-0.8680980245951809,1521.9257090733167,1.5219257090733167,0.6538276844781358,30.0,5.0,57.45316919902598,0.6538276844781358,0.6538276844781358,65.38276844781358,-2.2737367544323206e-13
PI_NO_ANTI_WINDUP,False,1660.0,4.068399251753922,6.723940505533928,7.0,-2.931600748246078,-0.8794802244738233,1492.9891082534773,1.4929891082534774,0.6135088837796541,30.0,5.0,55.50081220400213,0.6135088837796541,0.6135088837796541,61.350888377965404,5.684341886080802e-14
PI_NO_ANTI_WINDUP,False,1670.0,4.040408456663188,6.601927050012387,7.0,-2.9595915433368116,-0.8878774630010434,1463.6731007710166,1.4636731007710166,0.5757956377699732,30.0,5.0,53.53573860099825,0.5757956377699732,0.5757956377699732,57.579563776997325,-6.252776074688882e-13
PI_NO_ANTI_WINDUP,False,1680.0,4.021060010845011,6.489315860533926,7.0,-2.9789399891549886,-0.8936819967464965,1434.0771853376484,1.4340771853376484,0.5403951885911519,30.0,5.0,51.586547258498314,0.5403951885911519,0.5403951885911519,54.03951885911519,5.115907697472721e-13
PI_NO_ANTI_WINDUP,False,1690.0,4.009323304621964,6.386030945421494,7.0,-2.9906766953780357,-0.8972030086134107,1404.2877854460985,1.4042877854460984,0.5070847768326877,30.0,5.0,49.67318969271017,0.5070847768326877,0.5070847768326877,50.70847768326877,-3.410605131648481e-13
PI_NO_ANTI_WINDUP,False,1700.0,4.00436977356666,6.291900851198,7.0,-2.99563022643334,-0.8986890679300019,1374.3810184923182,1.3743810184923182,0.4756919505623163,30.0,5.0,47.809399522495006,0.4756919505623163,0.4756919505623163,47.56919505623163,1.1368683772161603e-13
PI_NO_ANTI_WINDUP,False,1710.0,4.005519077232992,6.206688413291325,7.0,-2.994480922767008,-0.8983442768301023,1344.4247162279848,1.344424716227985,0.44608043939788267,30.0,5.0,46.004439123619164,0.44608043939788267,0.44608043939788267,44.60804393978827,-2.5579538487363607e-13
PI_NO_ANTI_WINDUP,False,1720.0,4.012200393902039,6.130112149541952,7.0,-2.987799606097961,-0.8963398818293883,1314.4799070003148,1.3144799070003148,0.4181400251709265,30.0,5.0,44.264355692874176,0.4181400251709265,0.4181400251709265,41.81400251709265,-1.7053025658242404e-13
