time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
1260,9.93238468729635,9.93238468729635,0,13.6068260778031,13.6068260778031,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1270,9.82135992682549,9.82135992682549,0,13.3829226086088,13.3829226086088,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1280,9.6990472954823,9.6990472954823,0,13.170307010287,13.170307010287,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1290,9.56770436744123,9.56770436744123,0,12.966721708663,12.966721708663,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1300,9.42913720204188,9.42913720204188,0,12.7703606443973,12.7703606443973,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1310,9.28479064675588,9.28479064675588,0,12.5797789700182,12.5797789700182,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1320,9.13582057956058,9.13582057956058,0,12.3938208075484,12.3938208075484,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1330,8.98315170283783,8.98315170283783,0,12.2115614546061,12.2115614546061,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1340,8.82752377849312,8.82752377849312,0,12.0322611492857,12.0322611492857,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1350,8.66952861605085,8.66952861605085,0,11.8553280820629,11.8553280820629,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
1360,8.50963966313053,8.50963966313053,0,11.6802888053182,11.6802888053182,0,0.975165840684504,0.975165840684504,-1.11022302462516e-16,522.273941745346,522.273941745346,-1.13686837721616e-13
1370,8.36011805070599,8.36011805070599,0,11.5067645609559,11.5067645609559,0,0.945405753588447,0.945405753588447,-2.22044604925031e-16,537.370338376651,537.370338376651,-1.13686837721616e-13
1380,8.22243545121019,8.22243545121019,0,11.3356405797873,11.3356405797873,0,0.917702154246767,0.917702154246767,-1.11022302462516e-16,550.971518883711,550.971518883711,-1.13686837721616e-13
1390,8.09466402423691,8.09466402423691,0,11.1678607367861,11.1678607367861,0,0.891595080666887,0.891595080666887,0,563.195873395813,563.195873395813,-1.13686837721616e-13
1400,7.97538317842633,7.97538317842633,0,11.0040817353876,11.0040817353876,0,0.866757467166082,0.866757467166082,-2.22044604925031e-16,574.142513638182,574.142513638182,-1.13686837721616e-13
1410,7.86353654265544,7.86353654265544,0,10.844752549548,10.844752549548,0,0.842957308219076,0.842957308219076,-1.11022302462516e-16,583.896345422445,583.896345422445,-1.13686837721616e-13
1420,7.75832928773747,7.75832928773747,0,10.6901716187152,10.6901716187152,0,0.820030497170242,0.820030497170242,-1.11022302462516e-16,592.531710849,592.531710849,-1.13686837721616e-13
1430,7.6591544312801,7.6591544312801,0,10.5405280554739,10.5405280554739,0,0.797861333110405,0.797861333110405,-1.11022302462516e-16,600.115003726374,600.115003726374,-1.13686837721616e-13
1440,7.56553995967536,7.56553995967536,0,10.3959313629109,10.3959313629109,0,0.776368535941784,0.776368535941784,-1.11022302462516e-16,606.706548039175,606.706548039175,-1.13686837721616e-13
1450,7.47711090098371,7.47711090098371,0,10.2564328924438,10.2564328924438,0,0.755495217931042,0.755495217931042,-1.11022302462516e-16,612.361947635929,612.361947635929,-1.13686837721616e-13
1460,7.39356213461248,7.39356213461248,0,10.1220413631543,10.1220413631543,0,0.735201697029509,0.735201697029509,-1.11022302462516e-16,617.133056645766,617.133056645766,-1.13686837721616e-13
1470,7.31463891056259,7.31463891056259,0,9.99273411015656,9.99273411015656,0,0.715460351160667,0.715460351160667,-1.11022302462516e-16,621.068677991891,621.068677991891,-1.13686837721616e-13
1480,7.24012290365085,7.24012290365085,0,9.86846526005363,9.86846526005363,0,0.696251938192772,0.696251938192772,-1.11022302462516e-16,624.215067097517,624.215067097517,-1.13686837721616e-13
1490,7.1698222406343,7.1698222406343,0,9.74917169426981,9.74917169426981,0,0.677562968324315,0.677562968324315,-1.11022302462516e-16,626.616296134025,626.616296134025,-1.13686837721616e-13
1500,7.10356437818717,7.10356437818717,0,9.63477741876271,9.63477741876271,0,0.65938383199652,0.65938383199652,-1.11022302462516e-16,628.314518540368,628.314518540368,-1.13686837721616e-13
1510,7.04119102578706,7.04119102578706,0,9.52519678456162,9.52519678456162,0,0.641707470058359,0.641707470058359,-1.11022302462516e-16,629.35016232224,629.35016232224,-1.13686837721616e-13
1520,6.98255453465095,6.98255453465095,0,9.42033687854062,9.42033687854062,0,0.624528432975396,0.624528432975396,-1.11022302462516e-16,629.762072580111,629.762072580111,-1.13686837721616e-13
