controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
P,1770.0,8.664341602430726,11.054480552101088,7.0,1.664341602430726,0.4993024807292178,0.0,0.0,50.0,5.0,49.953904048110566,0.4993024807292178,0.4993024807292178,49.93024807292178,-2.078337502098293e-12
P,1780.0,8.664454788914883,11.054701106894818,7.0,1.6644547889148829,0.4993364366744648,0.0,0.0,50.0,5.0,49.956148045780644,0.4993364366744648,0.4993364366744648,49.93364366744648,6.572520305780927e-13
P,1790.0,8.664562465366242,11.05491092485759,7.0,1.6645624653662416,0.4993687396098725,0.0,0.0,50.0,5.0,49.95828280336916,0.4993687396098725,0.4993687396098725,49.93687396098725,-3.517186542012496e-12
P,1800.0,8.664664900018787,11.05511052866922,7.0,1.6646649000187868,0.499399470005636,0.0,0.0,50.0,5.0,49.96031363879404,0.499399470005636,0.499399470005636,49.9399470005636,-8.704148513061227e-13
PI,0.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,10.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,20.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,30.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,40.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,50.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,60.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,70.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,80.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,90.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,100.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,110.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,120.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,130.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,140.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,150.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,160.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,170.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,180.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,190.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,200.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,210.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,220.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,230.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,240.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,250.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,260.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,270.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,280.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,290.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,300.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,310.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,320.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,330.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,340.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,350.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,360.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,370.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,380.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,390.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,400.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,410.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,420.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,430.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,440.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,450.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,460.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,470.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,480.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,490.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,500.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,510.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
