time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
960.0,8.534228198363977,10.800940900529588,50.0,5.0,47.37429547526127,0.46026845950919293,0.46026845950919293,46.026845950919295,1.4708234630234074e-12
970.0,8.540675325274703,10.813504080073791,50.0,5.0,47.50212097530093,0.462202597582411,0.462202597582411,46.2202597582411,-2.2737367544323206e-12
980.0,8.546808632533363,10.825455654354649,50.0,5.0,47.623722756064865,0.4640425897600089,0.4640425897600089,46.40425897600089,1.3642420526593924e-12
990.0,8.552643387461899,10.836825401933286,50.0,5.0,47.739404102451985,0.4657930162385696,0.4657930162385696,46.57930162385696,8.881784197001252e-13
1000.0,8.558194117024554,10.847641650246914,50.0,5.0,47.84945344434731,0.46745823510736617,0.46745823510736617,46.745823510736614,5.115907697472721e-13
1010.0,8.56347464302269,10.857931346685444,50.0,5.0,47.954145106551536,0.4690423929068071,0.4690423929068071,46.904239290680714,-4.121147867408581e-13
1020.0,8.5684981158259,10.867720126079934,50.0,5.0,48.05374001430931,0.47054943474776995,0.47054943474776995,47.054943474777,3.517186542012496e-13
1030.0,8.57327704663706,10.877032374815297,50.0,5.0,48.148486358925155,0.47198311399111786,0.47198311399111786,47.19831139911179,1.3109513474773848e-12
1040.0,8.577823338310807,10.885891291758238,50.0,5.0,48.2386202270513,0.47334700149324216,0.47334700149324216,47.33470014932421,-2.277289468111121e-12
1050.0,8.582148314759262,10.89431894617426,50.0,5.0,48.324366196573465,0.4746444944277787,0.4746444944277787,47.46444944277787,8.668621376273222e-13
1060.0,8.586262748987949,10.902336332793526,50.0,5.0,48.40593790153657,0.47587882469638454,0.47587882469638454,47.58788246963845,-2.6645352591003757e-12
1070.0,8.590176889810428,10.909963424173734,50.0,5.0,48.4835385681931,0.47705306694312827,0.47705306694312827,47.705306694312824,-3.730349362740526e-13
1080.0,8.593900487293109,10.917219220498168,50.0,5.0,48.55736152398575,0.4781701461879326,0.4781701461879326,47.81701461879326,-3.552713678800501e-14
1090.0,8.597442816983024,10.924121796938428,50.0,5.0,48.62759068106793,0.47923284509490727,0.47923284509490727,47.92328450949073,-1.6342482922482304e-12
1100.0,8.600812702971432,10.930688348703653,50.0,5.0,48.69440099580341,0.4802438108914295,0.4802438108914295,48.02438108914295,-1.4743761767022079e-12
1110.0,8.604018539845406,10.936935233891196,50.0,5.0,48.75795890555702,0.4812055619536217,0.4812055619536217,48.12055619536217,1.4921397450962104e-12
1120.0,8.607068313578395,10.942878014247382,50.0,5.0,48.81842274398183,0.48212049407351854,0.48212049407351854,48.212049407351856,-1.4210854715202004e-12
1130.0,8.60996962140916,10.94853149394125,50.0,5.0,48.87594313592067,0.482990886422748,0.482990886422748,48.2990886422748,1.5987211554602254e-13
1140.0,8.612729690756748,10.953909756448807,50.0,5.0,48.93066337296404,0.48381890722702425,0.48381890722702425,48.38189072270242,8.704148513061227e-13
1150.0,8.61535539721733,10.959026199640366,50.0,5.0,48.982719770641445,0.48460661916519904,0.48460661916519904,48.4606619165199,3.907985046680551e-13
1160.0,8.617853281686811,10.963893569158827,50.0,5.0,49.032242008165134,0.4853559845060433,0.4853559845060433,48.535598450604326,-2.488675931999751e-12
1170.0,8.620229566651217,10.968523990172391,50.0,5.0,49.079353451592546,0.486068869995365,0.486068869995365,48.6068869995365,4.0678571622265736e-13
